date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population
2020-02-26,IRN,Sistan and Baluchestan,0,0,1,1,0,0,0,0,2.0,2,2775014.0
2020-02-26,IRN,South Khorasan,0,0,1,1,0,0,0,0,0.0,0,768898.0
2020-02-26,IRN,Tehran,1,0,1,1,0,0,0,0,25.0,25,13267637.0
2020-02-26,IRN,West Azarbaijan,0,0,1,1,0,0,0,0,0.0,0,3265219.0
2020-02-26,IRN,Yazd,0,0,1,1,0,0,0,0,0.0,0,1138533.0
2020-02-26,IRN,Zanjan,1,0,1,1,0,0,0,0,0.0,0,1057461.0
2020-02-27,IRN,Alborz,1,0,1,1,0,0,0,0,5.0,5,2712400.0
2020-02-27,IRN,Ardebil,1,0,1,1,0,0,0,0,5.0,5,1270420.0
2020-02-27,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0,1163400.0
2020-02-27,IRN,Chahar Mahall and Bakhtiari,0,0,1,1,0,0,0,0,0.0,0,947763.0
2020-02-27,IRN,East Azarbaijan,0,0,1,1,0,0,0,0,2.0,2,3909652.0
2020-02-27,IRN,Esfahan,0,0,1,1,0,0,0,0,10.0,10,5120850.0
2020-02-27,IRN,Fars,0,0,1,1,0,0,0,0,3.0,3,4851274.0
2020-02-27,IRN,Gilan,1,0,1,1,0,0,0,0,32.0,32,2530696.0
2020-02-27,IRN,Golestan,1,0,1,1,0,0,0,0,0.0,0,1868819.0
2020-02-27,IRN,Hamadan,1,0,1,1,0,0,0,0,2.0,2,1738234.0
2020-02-27,IRN,Hormozgan,0,0,1,1,0,0,0,0,2.0,2,1776415.0
2020-02-27,IRN,Ilam,0,0,1,1,0,0,0,0,0.0,0,580158.0
2020-02-27,IRN,Kerman,0,0,1,1,0,0,0,0,0.0,0,3164718.0
2020-02-27,IRN,Kermanshah,1,0,1,1,0,0,0,0,3.0,3,1952434.0
2020-02-27,IRN,Khuzestan,0,0,1,1,0,0,0,0,3.0,3,4710509.0
2020-02-27,IRN,Kohgiluyeh and Buyer Ahmad,0,0,1,1,0,0,0,0,2.0,2,713052.0
2020-02-27,IRN,Kordestan,1,0,1,1,0,0,0,0,1.0,1,1603011.0
2020-02-27,IRN,Lorestan,0,0,1,1,0,0,0,0,4.0,4,1760649.0
2020-02-27,IRN,Markazi,1,0,1,1,0,0,0,0,5.0,5,1429475.0
2020-02-27,IRN,Mazandaran,1,0,1,1,0,0,0,0,11.0,11,3283582.0
2020-02-27,IRN,North Khorasan,0,0,1,1,0,0,0,0,0.0,0,863092.0
