adm0_name,adm1_name,adm2_name,policy,policy_description,date_start,date_end,optional,source,access_date,notes
CHN,Sichuan,Suining,home_isolation,,02/07/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Tianjin,Tianjin,home_isolation,"1 district, Baodi",02/07/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Chongqing,Chongqing,home_isolation,,02/08/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Guangdong,Foshan,home_isolation,,02/08/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Sichuan,Ziyang,home_isolation,,02/08/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Guangdong,Dongguan,home_isolation,,02/09/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Guangdong,Huizhou,home_isolation,,02/09/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Jiangsu,Wuxi,home_isolation,all of Wuxi,02/09/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Shaanxi,Hanzhong,home_isolation,,02/09/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Sichuan,Deyang,home_isolation,,02/09/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Sichuan,Mianyang,home_isolation,,02/09/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Beijing,Beijing,home_isolation,"maybe ends 3/10/2020? entry restrictions, citywide registration system, controls on movements of residents, masks required",02/10/2020,03/13/2020,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Hubei,Enshi Tujia and Miao Autonomous Prefecture,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Ezhou,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Huangshi,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
CHN,Hubei,Jingmen,home_isolation,,02/10/2020,NA,N,https://github.com/Pratitya/wuhan2020-timeline/blob/master/%E6%97%B6%E9%97%B4%E7%BA%BFTIMELINE.md,4/2/2020,
