date,adm0_name,adm1_name,adm_level,cumulative_confirmed_cases,cumulative_tests,cumulative_deaths
2020-03-20,USA,Mississippi,1,80.0,775.0,1.0
2020-03-20,USA,Montana,1,16.0,947.0,
2020-03-20,USA,North Carolina,1,137.0,3233.0,0.0
2020-03-20,USA,North Dakota,1,20.0,820.0,0.0
2020-03-20,USA,Nebraska,1,32.0,272.0,0.0
2020-03-20,USA,New Hampshire,1,44.0,789.0,
2020-03-20,USA,New Jersey,1,890.0,1154.0,11.0
2020-03-20,USA,New Mexico,1,43.0,3814.0,
2020-03-20,USA,Nevada,1,109.0,2101.0,1.0
2020-03-20,USA,New York,1,7102.0,32427.0,35.0
2020-03-20,USA,Ohio,1,169.0,309.0,1.0
2020-03-20,USA,Oklahoma,1,49.0,587.0,1.0
2020-03-20,USA,Oregon,1,114.0,2117.0,3.0
2020-03-20,USA,Pennsylvania,1,268.0,2842.0,1.0
2020-03-20,USA,Puerto Rico,1,14.0,128.0,
2020-03-20,USA,Rhode Island,1,54.0,708.0,
2020-03-20,USA,South Carolina,1,81.0,914.0,1.0
2020-03-20,USA,South Dakota,1,14.0,677.0,1.0
2020-03-20,USA,Tennessee,1,228.0,791.0,
2020-03-20,USA,Texas,1,194.0,5277.0,5.0
2020-03-20,USA,Utah,1,112.0,2147.0,0.0
2020-03-20,USA,Virginia,1,114.0,2325.0,2.0
2020-03-20,USA,Virgin Islands,1,3.0,,0.0
2020-03-20,USA,Vermont,1,29.0,808.0,2.0
2020-03-20,USA,Washington,1,1376.0,20712.0,74.0
2020-03-20,USA,Wisconsin,1,206.0,3661.0,3.0
2020-03-20,USA,West Virginia,1,7.0,226.0,0.0
2020-03-20,USA,Wyoming,1,19.0,350.0,
2020-03-19,USA,Alaska,1,6.0,406.0,
2020-03-19,USA,Alabama,1,68.0,96.0,0.0
2020-03-19,USA,Arkansas,1,46.0,356.0,
2020-03-19,USA,American Samoa,1,0.0,,0.0
2020-03-19,USA,Arizona,1,44.0,219.0,0.0
2020-03-19,USA,California,1,924.0,9711.0,18.0
2020-03-19,USA,Colorado,1,216.0,2328.0,2.0
2020-03-19,USA,Connecticut,1,96.0,700.0,1.0
2020-03-19,USA,District of Columbia,1,39.0,192.0,0.0
2020-03-19,USA,Delaware,1,30.0,66.0,0.0
2020-03-19,USA,Florida,1,390.0,1923.0,8.0
2020-03-19,USA,Georgia,1,287.0,1831.0,10.0
2020-03-19,USA,Guam,1,12.0,81.0,
2020-03-19,USA,Hawaii,1,16.0,109.0,
2020-03-19,USA,Iowa,1,38.0,121.0,
2020-03-19,USA,Idaho,1,11.0,468.0,
2020-03-19,USA,Illinois,1,426.0,3151.0,4.0
2020-03-19,USA,Indiana,1,56.0,380.0,2.0
2020-03-19,USA,Kansas,1,34.0,451.0,1.0
2020-03-19,USA,Kentucky,1,35.0,489.0,1.0
2020-03-19,USA,Louisiana,1,347.0,805.0,8.0
2020-03-19,USA,Massachusetts,1,328.0,3132.0,
2020-03-19,USA,Maryland,1,107.0,201.0,1.0
2020-03-19,USA,Maine,1,53.0,2057.0,
2020-03-19,USA,Michigan,1,336.0,2449.0,3.0
2020-03-19,USA,Minnesota,1,89.0,3038.0,
2020-03-19,USA,Missouri,1,24.0,332.0,1.0
2020-03-19,USA,Northern Marianas,1,0.0,,0.0
2020-03-19,USA,Mississippi,1,50.0,602.0,
2020-03-19,USA,Montana,1,12.0,773.0,
2020-03-19,USA,North Carolina,1,97.0,2505.0,0.0
2020-03-19,USA,North Dakota,1,15.0,508.0,0.0
2020-03-19,USA,Nebraska,1,27.0,267.0,0.0
2020-03-19,USA,New Hampshire,1,39.0,660.0,
2020-03-19,USA,New Jersey,1,742.0,952.0,9.0
2020-03-19,USA,New Mexico,1,35.0,2797.0,
2020-03-19,USA,Nevada,1,95.0,1721.0,1.0
2020-03-19,USA,New York,1,4152.0,22284.0,12.0
2020-03-19,USA,Ohio,1,119.0,259.0,
2020-03-19,USA,Oklahoma,1,44.0,510.0,1.0
2020-03-19,USA,Oregon,1,88.0,1417.0,3.0
2020-03-19,USA,Pennsylvania,1,185.0,1793.0,1.0
2020-03-19,USA,Puerto Rico,1,5.0,61.0,
2020-03-19,USA,Rhode Island,1,33.0,573.0,
2020-03-19,USA,South Carolina,1,60.0,643.0,1.0
2020-03-19,USA,South Dakota,1,11.0,562.0,1.0
2020-03-19,USA,Tennessee,1,154.0,503.0,
2020-03-19,USA,Texas,1,143.0,2355.0,3.0
2020-03-19,USA,Utah,1,78.0,1526.0,0.0
2020-03-19,USA,Virginia,1,94.0,1923.0,2.0
2020-03-19,USA,Virgin Islands,1,3.0,,0.0
2020-03-19,USA,Vermont,1,22.0,667.0,
2020-03-19,USA,Washington,1,1187.0,17105.0,66.0
2020-03-19,USA,Wisconsin,1,155.0,2347.0,
2020-03-19,USA,West Virginia,1,2.0,145.0,0.0
2020-03-19,USA,Wyoming,1,18.0,289.0,
2020-03-18,USA,Alaska,1,6.0,412.0,
2020-03-18,USA,Alabama,1,46.0,74.0,0.0
2020-03-18,USA,Arkansas,1,33.0,269.0,
2020-03-18,USA,American Samoa,1,0.0,,0.0
2020-03-18,USA,Arizona,1,28.0,176.0,0.0
