date,adm0_name,adm1_name,cum_confirmed_cases,cum_confirmed_cases_imputed,cum_deaths,cum_deaths_imputed
2020-04-22,USA,South Carolina,4758,4758,140,140
2020-04-23,USA,South Carolina,4916,4916,150,150
2020-04-24,USA,South Carolina,5068,5068,157,157
2020-04-25,USA,South Carolina,5243,5243,166,166
2020-04-26,USA,South Carolina,5243,5243,166,166
2020-04-27,USA,South Carolina,5611,5611,177,177
2020-04-28,USA,South Carolina,5734,5734,192,192
2020-04-29,USA,South Carolina,5881,5881,232,232
2020-04-30,USA,South Carolina,6095,6095,244,244
2020-05-01,USA,South Carolina,6254,6254,256,256
2020-05-02,USA,South Carolina,6485,6485,267,267
2020-05-03,USA,South Carolina,6617,6617,275,275
2020-05-04,USA,South Carolina,6748,6748,282,282
2020-05-05,USA,South Carolina,6837,6837,295,295
2020-05-06,USA,South Carolina,6936,6936,304,304
2020-05-07,USA,South Carolina,7140,7140,315,315
2020-05-08,USA,South Carolina,7365,7365,319,319
2020-05-09,USA,South Carolina,7530,7530,329,329
2020-05-10,USA,South Carolina,7653,7653,330,330
2020-05-11,USA,South Carolina,7784,7784,344,344
2020-01-22,USA,South Dakota,0,0,0,0
2020-01-23,USA,South Dakota,0,0,0,0
2020-01-24,USA,South Dakota,0,0,0,0
2020-01-25,USA,South Dakota,0,0,0,0
2020-01-26,USA,South Dakota,0,0,0,0
2020-01-27,USA,South Dakota,0,0,0,0
2020-01-28,USA,South Dakota,0,0,0,0
2020-01-29,USA,South Dakota,0,0,0,0
2020-01-30,USA,South Dakota,0,0,0,0
2020-01-31,USA,South Dakota,0,0,0,0
2020-02-01,USA,South Dakota,0,0,0,0
2020-02-02,USA,South Dakota,0,0,0,0
2020-02-03,USA,South Dakota,0,0,0,0
2020-02-04,USA,South Dakota,0,0,0,0
2020-02-05,USA,South Dakota,0,0,0,0
2020-02-06,USA,South Dakota,0,0,0,0
2020-02-07,USA,South Dakota,0,0,0,0
2020-02-08,USA,South Dakota,0,0,0,0
2020-02-09,USA,South Dakota,0,0,0,0
2020-02-10,USA,South Dakota,0,0,0,0
2020-02-11,USA,South Dakota,0,0,0,0
2020-02-12,USA,South Dakota,0,0,0,0
2020-02-13,USA,South Dakota,0,0,0,0
2020-02-14,USA,South Dakota,0,0,0,0
2020-02-15,USA,South Dakota,0,0,0,0
2020-02-16,USA,South Dakota,0,0,0,0
2020-02-17,USA,South Dakota,0,0,0,0
2020-02-18,USA,South Dakota,0,0,0,0
2020-02-19,USA,South Dakota,0,0,0,0
2020-02-20,USA,South Dakota,0,0,0,0
2020-02-21,USA,South Dakota,0,0,0,0
2020-02-22,USA,South Dakota,0,0,0,0
2020-02-23,USA,South Dakota,0,0,0,0
2020-02-24,USA,South Dakota,0,0,0,0
2020-02-25,USA,South Dakota,0,0,0,0
2020-02-26,USA,South Dakota,0,0,0,0
2020-02-27,USA,South Dakota,0,0,0,0
2020-02-28,USA,South Dakota,0,0,0,0
2020-02-29,USA,South Dakota,0,0,0,0
2020-03-01,USA,South Dakota,0,0,0,0
2020-03-02,USA,South Dakota,0,0,0,0
2020-03-03,USA,South Dakota,0,0,0,0
2020-03-04,USA,South Dakota,0,0,0,0
2020-03-05,USA,South Dakota,0,0,0,0
2020-03-06,USA,South Dakota,0,0,0,0
2020-03-07,USA,South Dakota,0,0,0,0
2020-03-08,USA,South Dakota,0,0,0,0
2020-03-09,USA,South Dakota,1,1,0,0
2020-03-10,USA,South Dakota,5,5,1,1
2020-03-11,USA,South Dakota,7,7,1,1
2020-03-12,USA,South Dakota,8,8,1,1
2020-03-13,USA,South Dakota,9,9,1,1
2020-03-14,USA,South Dakota,9,9,1,1
2020-03-15,USA,South Dakota,9,9,1,1
2020-03-16,USA,South Dakota,10,10,1,1
2020-03-17,USA,South Dakota,11,11,1,1
2020-03-18,USA,South Dakota,11,11,1,1
2020-03-19,USA,South Dakota,14,14,1,1
2020-03-20,USA,South Dakota,14,14,1,1
2020-03-21,USA,South Dakota,14,14,1,1
2020-03-22,USA,South Dakota,21,21,1,1
2020-03-23,USA,South Dakota,27,27,1,1
2020-03-24,USA,South Dakota,30,30,1,1
2020-03-25,USA,South Dakota,41,41,1,1
2020-03-26,USA,South Dakota,46,46,1,1
2020-03-27,USA,South Dakota,58,58,1,1
2020-03-28,USA,South Dakota,68,68,1,1
2020-03-29,USA,South Dakota,90,90,1,1
2020-03-30,USA,South Dakota,100,100,1,1
2020-03-31,USA,South Dakota,100,100,1,1
2020-04-01,USA,South Dakota,129,129,2,2
2020-04-02,USA,South Dakota,165,165,2,2
2020-04-03,USA,South Dakota,187,187,2,2
2020-04-04,USA,South Dakota,212,212,2,2
2020-04-05,USA,South Dakota,240,240,2,2
2020-04-06,USA,South Dakota,285,285,3,3
2020-04-07,USA,South Dakota,320,320,5,5
2020-04-08,USA,South Dakota,393,393,5,5
2020-04-09,USA,South Dakota,447,447,5,5
2020-04-10,USA,South Dakota,534,534,5,5
2020-04-11,USA,South Dakota,626,626,5,5
2020-04-12,USA,South Dakota,730,730,5,5
2020-04-13,USA,South Dakota,868,868,5,5
2020-04-14,USA,South Dakota,988,988,5,5
2020-04-15,USA,South Dakota,1168,1168,5,5
2020-04-16,USA,South Dakota,1311,1311,6,6
2020-04-17,USA,South Dakota,1411,1411,6,6
2020-04-18,USA,South Dakota,1541,1541,7,7
2020-04-19,USA,South Dakota,1635,1635,7,7
2020-04-20,USA,South Dakota,1635,1635,7,7
2020-04-21,USA,South Dakota,1755,1755,8,8
2020-04-22,USA,South Dakota,1858,1858,9,9
2020-04-23,USA,South Dakota,1956,1956,9,9
2020-04-24,USA,South Dakota,2039,2039,9,9
2020-04-25,USA,South Dakota,2147,2147,10,10
2020-04-26,USA,South Dakota,2212,2212,11,11
2020-04-27,USA,South Dakota,2244,2244,11,11
2020-04-28,USA,South Dakota,2312,2312,11,11
2020-04-29,USA,South Dakota,2373,2373,13,13
2020-04-30,USA,South Dakota,2449,2449,17,17
2020-05-01,USA,South Dakota,2524,2524,21,21
2020-05-02,USA,South Dakota,2587,2587,21,21
2020-05-03,USA,South Dakota,2630,2630,21,21
2020-05-04,USA,South Dakota,2667,2667,21,21
2020-05-05,USA,South Dakota,2720,2720,24,24
2020-05-06,USA,South Dakota,2778,2778,29,29
2020-05-07,USA,South Dakota,2905,2905,31,31
2020-05-08,USA,South Dakota,3144,3144,31,31
2020-05-09,USA,South Dakota,3392,3392,34,34
2020-05-10,USA,South Dakota,3516,3516,34,34
2020-05-11,USA,South Dakota,3613,3613,34,34
2020-01-22,USA,Tennessee,0,0,0,0
2020-01-23,USA,Tennessee,0,0,0,0
2020-01-24,USA,Tennessee,0,0,0,0
2020-01-25,USA,Tennessee,0,0,0,0
2020-01-26,USA,Tennessee,0,0,0,0
2020-01-27,USA,Tennessee,0,0,0,0
2020-01-28,USA,Tennessee,0,0,0,0
2020-01-29,USA,Tennessee,0,0,0,0
2020-01-30,USA,Tennessee,0,0,0,0
2020-01-31,USA,Tennessee,0,0,0,0
2020-02-01,USA,Tennessee,0,0,0,0
2020-02-02,USA,Tennessee,0,0,0,0
2020-02-03,USA,Tennessee,0,0,0,0
2020-02-04,USA,Tennessee,0,0,0,0
2020-02-05,USA,Tennessee,0,0,0,0
2020-02-06,USA,Tennessee,0,0,0,0
2020-02-07,USA,Tennessee,0,0,0,0
2020-02-08,USA,Tennessee,0,0,0,0
2020-02-09,USA,Tennessee,0,0,0,0
2020-02-10,USA,Tennessee,0,0,0,0
2020-02-11,USA,Tennessee,0,0,0,0
2020-02-12,USA,Tennessee,0,0,0,0
2020-02-13,USA,Tennessee,0,0,0,0
2020-02-14,USA,Tennessee,0,0,0,0
2020-02-15,USA,Tennessee,0,0,0,0
2020-02-16,USA,Tennessee,0,0,0,0
2020-02-17,USA,Tennessee,0,0,0,0
2020-02-18,USA,Tennessee,0,0,0,0
2020-02-19,USA,Tennessee,0,0,0,0
2020-02-20,USA,Tennessee,0,0,0,0
2020-02-21,USA,Tennessee,0,0,0,0
2020-02-22,USA,Tennessee,0,0,0,0
2020-02-23,USA,Tennessee,0,0,0,0
2020-02-24,USA,Tennessee,0,0,0,0
2020-02-25,USA,Tennessee,0,0,0,0
2020-02-26,USA,Tennessee,0,0,0,0
2020-02-27,USA,Tennessee,0,0,0,0
2020-02-28,USA,Tennessee,0,0,0,0
2020-02-29,USA,Tennessee,0,0,0,0
2020-03-01,USA,Tennessee,0,0,0,0
2020-03-02,USA,Tennessee,0,0,0,0
2020-03-03,USA,Tennessee,0,0,0,0
2020-03-04,USA,Tennessee,0,0,0,0
2020-03-05,USA,Tennessee,1,1,0,0
2020-03-06,USA,Tennessee,1,1,0,0
2020-03-07,USA,Tennessee,1,1,0,0
2020-03-08,USA,Tennessee,3,3,0,0
2020-03-09,USA,Tennessee,3,3,0,0
2020-03-10,USA,Tennessee,7,7,0,0
2020-03-11,USA,Tennessee,8,8,0,0
2020-03-12,USA,Tennessee,17,17,0,0
2020-03-13,USA,Tennessee,18,18,0,0
2020-03-14,USA,Tennessee,32,32,0,0
2020-03-15,USA,Tennessee,39,39,0,0
2020-03-16,USA,Tennessee,NA,53,0,0
2020-03-17,USA,Tennessee,73,73,0,0
2020-03-18,USA,Tennessee,98,98,0,0
2020-03-19,USA,Tennessee,154,154,0,0
2020-03-20,USA,Tennessee,227,227,1,1
2020-03-21,USA,Tennessee,368,368,1,1
2020-03-22,USA,Tennessee,499,499,2,2
2020-03-23,USA,Tennessee,615,615,2,2
2020-03-24,USA,Tennessee,667,667,2,2
2020-03-25,USA,Tennessee,780,780,4,4
2020-03-26,USA,Tennessee,956,956,4,4
2020-03-27,USA,Tennessee,1201,1201,6,6
2020-03-28,USA,Tennessee,1370,1370,6,6
2020-03-29,USA,Tennessee,1579,1579,6,6
2020-03-30,USA,Tennessee,1833,1833,13,13
2020-03-31,USA,Tennessee,2238,2238,22,22
2020-04-01,USA,Tennessee,2681,2681,24,24
2020-04-02,USA,Tennessee,2844,2844,31,31
2020-04-03,USA,Tennessee,3066,3066,37,37
2020-04-04,USA,Tennessee,3319,3319,43,43
2020-04-05,USA,Tennessee,3631,3631,45,45
2020-04-06,USA,Tennessee,3800,3800,65,65
2020-04-07,USA,Tennessee,4136,4136,72,72
2020-04-08,USA,Tennessee,4361,4361,79,79
2020-04-09,USA,Tennessee,4632,4632,94,94
2020-04-10,USA,Tennessee,4859,4859,97,97
2020-04-11,USA,Tennessee,5111,5111,101,101
2020-04-12,USA,Tennessee,5302,5302,101,101
2020-04-13,USA,Tennessee,5604,5604,109,109
2020-04-14,USA,Tennessee,5816,5816,124,124
