adm1_name,adm3_name,date_closed,source,policy,access_date,Optional
Iowa,Manning,2020-03-20,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Independence,2020-03-17,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Indianola,2020-03-18,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Iowa City,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Marengo,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Jesup,2020-03-17,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Johnston,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Keokuk,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Keota,2020-03-17,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Kingsley,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Knoxville,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Lawton,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Le Mars,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Lenox,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Council Bluffs,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Marion,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Manson,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Marcus,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
